"level","taxon","family","scale","b","dbh_max_cm","fit_level","fit_taxon"
"genus","Bertholletia","Lecythidaceae","1.12482","0.433869","186.2","genus","Bertholletia"
"genus","Betula","Betulaceae","0.322666","0.69159","84","genus","Betula"
"genus","Bhesa","Centroplacaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Bikinia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Bischofia","Phyllanthaceae","0.257811","0.775491","111.5","family","Phyllanthaceae"
"genus","Bixa","Bixaceae","0.182015","0.673584","40.5","family","Bixaceae"
"genus","Blachia","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Blepharistemma","Rhizophoraceae","0.386698","0.68497","113.4","family","Rhizophoraceae"
"genus","Blepharocarya","Anacardiaceae","0.312881","0.679159","197.5","family","Anacardiaceae"
"genus","Blighia","Sapindaceae","0.508945","0.557312","141.2","genus","Blighia"
"genus","Blumeodendron","Euphorbiaceae","0.478994","0.553682","68.8","genus","Blumeodendron"
"genus","Bobgunnia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Bocageopsis","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Bocoa","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Boehmeria","Urticaceae","0.264232","0.788163","105.1","family","Urticaceae"
"genus","Bombax","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Bonellia","Primulaceae","0.396453","0.533411","65.5","family","Primulaceae"
"genus","Boscia","Capparaceae","0.441342","0.428749","31.5","genus","Boscia"
"genus","Boswellia","Burseraceae","0.263503","0.716147","150.6","family","Burseraceae"
"genus","Bouea","Anacardiaceae","0.404465","0.712403","30","genus","Bouea"
"genus","Bourreria","Boraginaceae","0.425924","0.564563","106.3","family","Boraginaceae"
"genus","Bowdichia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Brachychiton","Malvaceae","0.597754","0.449408","26","genus","Brachychiton"
"genus","Brachyglottis","Asteraceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Brachystegia","Fabaceae","0.244885","0.895854","83","genus","Brachystegia"
"genus","Brackenridgea","Ochnaceae","0.299755","0.719512","114.7","family","Ochnaceae"
"genus","Brenania","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Breynia","Phyllanthaceae","0.257811","0.775491","111.5","family","Phyllanthaceae"
"genus","Bridelia","Phyllanthaceae","0.239659","0.717598","40.2","genus","Bridelia"
"genus","Brochoneura","Myristicaceae","0.454828","0.613182","136.8","family","Myristicaceae"
"genus","Brongniartia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Brosimum","Moraceae","0.47505","0.612112","132","genus","Brosimum"
"genus","Broussonetia","Moraceae","0.34763","0.654914","217.7","family","Moraceae"
"genus","Brownlowia","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Brucea","Simaroubaceae","0.386634","0.616087","78.9","family","Simaroubaceae"
"genus","Brunellia","Brunelliaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Buchanania","Anacardiaceae","0.344089","0.623867","30.2","genus","Buchanania"
"genus","Buchenavia","Combretaceae","0.352803","0.687025","191","family","Combretaceae"
"genus","Bucida","Combretaceae","0.542017","0.630413","43","genus","Bucida"
"genus","Buckinghamia","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Bunchosia","Malpighiaceae","0.494214","0.533879","46","family","Malpighiaceae"
"genus","Burkea","Fabaceae","0.177249","0.908388","70","genus","Burkea"
"genus","Bursera","Burseraceae","0.169575","0.812817","61.5","genus","Bursera"
"genus","Buxus","Buxaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Byrsonima","Malpighiaceae","0.54142","0.477642","46","genus","Byrsonima"
"genus","Caesalpinia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Caldcluvia","Cunoniaceae","0.360003","0.728754","80.5","family","Cunoniaceae"
"genus","Callerya","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Calliandra","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Callicarpa","Lamiaceae","0.344655","0.61105","77.5","family","Lamiaceae"
"genus","Callicoma","Cunoniaceae","0.360003","0.728754","80.5","family","Cunoniaceae"
"genus","Callitris","Cupressaceae","0.385224","0.556493","770","family","Cupressaceae"
"genus","Calocedrus","Cupressaceae","0.385224","0.556493","770","family","Cupressaceae"
"genus","Calophyllum","Calophyllaceae","0.4385","0.651666","129.9","genus","Calophyllum"
"genus","Calpocalyx","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Calycanthus","Calycanthaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Calycophyllum","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Calyptranthes","Myrtaceae","0.370999","0.569338","385","family","Myrtaceae"
"genus","Calytrix","Myrtaceae","0.370999","0.569338","385","family","Myrtaceae"
"genus","Camellia","Theaceae","0.339345","0.639067","51","genus","Camellia"
"genus","Campnosperma","Anacardiaceae","0.412732","0.5957","35","genus","Campnosperma"
"genus","Cananga","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Canarium","Burseraceae","0.232949","0.67007","83.2","genus","Canarium"
"genus","Canthium","Rubiaceae","0.277158","0.658124","29.5","genus","Canthium"
"genus","Capirona","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Capparis","Capparaceae","0.542657","0.432976","33.3","family","Capparaceae"
"genus","Caraipa","Calophyllaceae","0.429355","0.665366","163","family","Calophyllaceae"
"genus","Carallia","Rhizophoraceae","0.320511","0.684974","49.2","genus","Carallia"
"genus","Carapa","Meliaceae","0.32303","0.692249","76.5","genus","Carapa"
"genus","Cardwellia","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Careya","Lecythidaceae","0.438676","0.596827","186.2","family","Lecythidaceae"
"genus","Carica","Caricaceae","0.32757","0.54408","81.8","family","Caricaceae"
"genus","Carnarvonia","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Carpinus","Betulaceae","0.441053","0.664442","145","genus","Carpinus"
"genus","Carpodetus","Rousseaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Carya","Juglandaceae","0.570032","0.586412","72.6","genus","Carya"
"genus","Caryocar","Caryocaraceae","0.532622","0.585652","164","genus","Caryocar"
"genus","Caryodaphnopsis","Lauraceae","0.495826","0.494061","195","family","Lauraceae"
"genus","Caryota","Arecaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Cascabela","Apocynaceae","0.329077","0.659122","186.2","family","Apocynaceae"
"genus","Casearia","Salicaceae","0.420639","0.575161","100","genus","Casearia"
"genus","Casimiroa","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Cassia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Cassine","Celastraceae","0.376232","0.66231","101.6","family","Celastraceae"
"genus","Cassipourea","Rhizophoraceae","0.386698","0.68497","113.4","family","Rhizophoraceae"
"genus","Castanea","Fagaceae","0.405584","0.596132","222.9","genus","Castanea"
"genus","Castanopsis","Fagaceae","0.270494","0.683519","68.1","genus","Castanopsis"
"genus","Castanospermum","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Castanospora","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Castela","Simaroubaceae","0.386634","0.616087","78.9","family","Simaroubaceae"
"genus","Castilla","Moraceae","0.34763","0.654914","217.7","family","Moraceae"
"genus","Casuarina","Casuarinaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Catalepidia","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Catunaregam","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Cavanillesia","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Ceanothus","Rhamnaceae","0.628407","0.52228","55.4","family","Rhamnaceae"
"genus","Cecropia","Urticaceae","0.213779","0.840077","65","genus","Cecropia"
"genus","Cedrela","Meliaceae","0.470551","0.57892","280.3","family","Meliaceae"
"genus","Cedrelinga","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Cedrelopsis","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Cedrus","Pinaceae","0.222542","0.715395","152.9","family","Pinaceae"
"genus","Ceiba","Malvaceae","0.129259","0.923943","230","genus","Ceiba"
"genus","Celosia","Amaranthaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Celtis","Cannabaceae","0.258322","0.788285","101","genus","Celtis"
"genus","Centroplacus","Centroplacaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Cephalanthus","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Cephalotaxus","Taxaceae","0.228162","0.708135","770","division","Gymnosperm"
"genus","Cerasus","Rosaceae","0.439641","0.553616","100","family","Rosaceae"
"genus","Ceratopetalum","Cunoniaceae","0.360003","0.728754","80.5","family","Cunoniaceae"
"genus","Cerbera","Apocynaceae","0.329077","0.659122","186.2","family","Apocynaceae"
"genus","Cercis","Fabaceae","0.512883","0.646219","32.6","genus","Cercis"
"genus","Cercocarpus","Rosaceae","0.439641","0.553616","100","family","Rosaceae"
"genus","Chaenomeles","Rosaceae","0.439641","0.553616","100","family","Rosaceae"
"genus","Chaetocarpus","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Chamaecrista","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Chamaecyparis","Cupressaceae","0.512911","0.372226","48.9","genus","Chamaecyparis"
"genus","Champereia","Opiliaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Chassalia","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Cheiloclinium","Celastraceae","0.376232","0.66231","101.6","family","Celastraceae"
"genus","Cheirodendron","Araliaceae","0.221779","0.730318","138.1","family","Araliaceae"
"genus","Chengiopanax","Araliaceae","0.43361","0.610758","38.4","genus","Chengiopanax"
"genus","Chieniodendron","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Chimarrhis","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Chiococca","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Chionanthus","Oleaceae","0.434973","0.545344","88.8","family","Oleaceae"
"genus","Chisocheton","Meliaceae","0.565873","0.428366","53.1","genus","Chisocheton"
"genus","Chloroleucon","Fabaceae","0.39907","0.638435","38.4","genus","Chloroleucon"
"genus","Chloroxylon","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Choerospondias","Anacardiaceae","0.283586","0.669285","170","genus","Choerospondias"
"genus","Choriceras","Picrodendraceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Choristylis","Iteaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Chrysophyllum","Sapotaceae","0.480119","0.626325","94.7","genus","Chrysophyllum"
"genus","Chukrasia","Meliaceae","0.470551","0.57892","280.3","family","Meliaceae"
"genus","Chunia","Hamamelidaceae","0.965173","0.387314","44","family","Hamamelidaceae"
"genus","Chytranthus","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Cinchona","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Cinnamomum","Lauraceae","0.341301","0.554906","94.6","genus","Cinnamomum"
"genus","Cipadessa","Meliaceae","0.470551","0.57892","280.3","family","Meliaceae"
"genus","Cissus","Vitaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Citharexylum","Verbenaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Citronella","Cardiopteridaceae","0.416676","0.508211","38","family","Cardiopteridaceae"
"genus","Citrus","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Cladrastis","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Claoxylon","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Clarisia","Moraceae","0.378151","0.682947","64.9","genus","Clarisia"
"genus","Clausena","Rutaceae","0.173447","0.920261","51.9","genus","Clausena"
"genus","Cleidion","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Cleistanthus","Phyllanthaceae","0.261589","0.833149","80","genus","Cleistanthus"
"genus","Cleistopholis","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Clermontia","Campanulaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Clerodendrum","Lamiaceae","0.344655","0.61105","77.5","family","Lamiaceae"
"genus","Clethra","Clethraceae","0.465686","0.631036","59.4","genus","Clethra"
"genus","Cleyera","Pentaphylacaceae","0.548155","0.471061","36.3","genus","Cleyera"
"genus","Clitoria","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Clusia","Clusiaceae","1.72416","0.344191","65","genus","Clusia"
"genus","Cnesmocarpon","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Cnidoscolus","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Coccoloba","Polygonaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Cocculus","Menispermaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Cochlospermum","Bixaceae","0.219321","0.563413","40.5","genus","Cochlospermum"
"genus","Cocos","Arecaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Codonocarpus","Gyrostemonaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Coelocaryon","Myristicaceae","0.317865","0.658966","95","genus","Coelocaryon"
