level,taxon,fit_level,fit_taxon,n,cities,ln_a,b,sigma,r2,age_min_years,age_max_years,scale
genus,Sorbus,genus,Sorbus,13339,18,1.04553,0.532091,0.42979,0.604031,1.00205,106.691,3.12017
genus,Stewartia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Strelitzia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Styphnolobium,genus,Styphnolobium,4134,11,1.09326,0.653598,0.439438,0.657185,1.23477,146.689,3.28648
genus,Styrax,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Syringa,genus,Syringa,30954,19,1.28676,0.342227,0.401833,0.32612,1.00205,125.054,3.92552
genus,Syzygium,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Tabebuia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Taxodium,genus,Taxodium,3798,13,1.20127,0.574698,0.471963,0.538332,1.05681,164.687,3.716
genus,Taxus,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Tetradium,genus,Tetradium,164,5,1.45509,0.435325,0.66078,0.290679,1.68925,66.6913,5.33029
genus,Thuja,genus,Thuja,1841,19,0.493433,0.727352,0.737099,0.502966,1.10883,121.689,2.14919
genus,Tilia,genus,Tilia,210588,21,0.894997,0.693113,0.330297,0.823709,1.00205,191.688,2.58453
genus,Tipuana,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Tristaniopsis,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Tsuga,genus,Tsuga,1965,12,1.31733,0.995064,1.14488,0.334207,1.00205,77.6893,7.1901
genus,Ulmus,genus,Ulmus,128349,21,0.971551,0.680333,0.506712,0.592429,1.00205,183.688,3.00395
genus,Viburnum,genus,Viburnum,480,9,1.09563,0.391546,0.479256,0.364642,1.12799,35.7591,3.35506
genus,Xylosma,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Yucca,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Zelkova,genus,Zelkova,14363,15,1.28869,0.569898,0.448759,0.577797,1.02396,154.689,4.01236
division,Angiosperm,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
division,Gymnosperm,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
global,all,global,all,1894017,23,0.947606,0.632775,0.623462,0.516868,1.00205,197.687,3.1329
