level,taxon,family,division,fit_level,fit_taxon,n,ln_a,b,sigma,r2,dbh_min_cm,dbh_max_cm,scale
genus,Bursera,Burseraceae,Angiosperm,genus,Bursera,1386,-1.95284,0.812817,0.597295,0.402015,1,61.5,0.169575
genus,Buxus,Buxaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Byrsonima,Malpighiaceae,Angiosperm,genus,Byrsonima,67,-0.721134,0.477642,0.46384,0.274364,1.4,46,0.54142
genus,Caesalpinia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Caldcluvia,Cunoniaceae,Angiosperm,family,Cunoniaceae,98,-1.12508,0.728754,0.454835,0.574266,2.5,80.5,0.360003
genus,Callerya,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Calliandra,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Callicarpa,Lamiaceae,Angiosperm,family,Lamiaceae,683,-1.20981,0.61105,0.537772,0.453723,1,77.5,0.344655
genus,Callicoma,Cunoniaceae,Angiosperm,family,Cunoniaceae,98,-1.12508,0.728754,0.454835,0.574266,2.5,80.5,0.360003
genus,Callitris,Cupressaceae,Gymnosperm,family,Cupressaceae,563,-1.03097,0.556493,0.392518,0.571444,1,770,0.385224
genus,Calocedrus,Cupressaceae,Gymnosperm,family,Cupressaceae,563,-1.03097,0.556493,0.392518,0.571444,1,770,0.385224
genus,Calophyllum,Calophyllaceae,Angiosperm,genus,Calophyllum,127,-0.889654,0.651666,0.361272,0.836217,1.1,129.9,0.4385
genus,Calpocalyx,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Calycanthus,Calycanthaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Calycophyllum,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Calyptranthes,Myrtaceae,Angiosperm,family,Myrtaceae,9073,-1.07255,0.569338,0.402473,0.610796,1,385,0.370999
genus,Calytrix,Myrtaceae,Angiosperm,family,Myrtaceae,9073,-1.07255,0.569338,0.402473,0.610796,1,385,0.370999
genus,Camellia,Theaceae,Angiosperm,genus,Camellia,301,-1.18219,0.639067,0.450453,0.544496,1,51,0.339345
genus,Campnosperma,Anacardiaceae,Angiosperm,genus,Campnosperma,294,-0.899913,0.5957,0.172954,0.645149,1.6,35,0.412732
genus,Cananga,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
